,0
Random Forest,0.8460605683278923
Decision Tree,0.7548064752624328
Gradient Boosting,0.8725838620354454
Linear Regression,0.8795158595242263
XGBRegressor,0.8641759493504592
CatBoosting Regressor,0.8613734525258083
AdaBoost Regressor,0.8549330893296622
