iter	Passed	Remaining
441	1402	1770
442	1406	1767
443	1409	1764
444	1417	1768
445	1420	1764
446	1424	1762
447	1427	1759
448	1434	1760
449	1437	1756
450	1439	1752
451	1442	1748
452	1446	1746
453	1450	1743
454	1452	1739
455	1454	1735
456	1460	1735
457	1464	1732
458	1466	1728
459	1469	1725
460	1477	1727
461	1480	1724
462	1483	1720
463	1492	1724
464	1495	1720
465	1498	1717
466	1504	1717
467	1508	1714
468	1511	1711
469	1514	1707
470	1521	1708
471	1525	1706
472	1533	1708
473	1536	1704
474	1538	1700
475	1546	1702
476	1548	1698
477	1551	1694
478	1554	1690
479	1557	1687
480	1560	1684
481	1563	1680
482	1567	1677
483	1569	1673
484	1572	1669
485	1575	1666
486	1578	1662
487	1580	1658
488	1586	1657
489	1589	1654
490	1593	1652
491	1602	1654
492	1606	1651
493	1608	1647
494	1616	1648
495	1619	1645
496	1621	1641
497	1624	1637
498	1629	1636
499	1632	1632
500	1634	1627
501	1636	1623
502	1638	1619
503	1642	1616
504	1644	1612
505	1646	1607
506	1648	1602
507	1650	1598
508	1652	1593
509	1656	1591
510	1659	1587
511	1661	1583
512	1663	1578
513	1665	1574
514	1667	1570
515	1670	1566
516	1672	1562
517	1674	1558
518	1676	1553
519	1678	1549
520	1680	1544
521	1683	1541
522	1685	1537
523	1687	1533
524	1689	1528
525	1691	1524
526	1693	1519
527	1696	1516
528	1699	1513
529	1703	1510
530	1707	1507
531	1710	1504
532	1712	1500
533	1714	1496
534	1716	1492
535	1718	1488
536	1720	1483
537	1724	1480
538	1726	1476
539	1728	1472
540	1730	1468
541	1732	1464
542	1734	1460
543	1737	1456
544	1740	1452
545	1742	1448
546	1744	1445
547	1747	1441
548	1749	1437
549	1752	1434
550	1755	1430
551	1756	1425
552	1758	1421
553	1760	1417
554	1763	1414
555	1766	1410
556	1767	1406
557	1771	1403
558	1774	1400
559	1777	1396
560	1779	1392
561	1781	1388
562	1783	1384
563	1785	1380
564	1787	1376
565	1789	1371
566	1792	1369
567	1794	1364
568	1796	1360
569	1798	1356
570	1800	1352
571	1801	1348
572	1803	1344
573	1806	1340
574	1808	1336
575	1810	1332
576	1812	1328
577	1813	1324
578	1816	1320
579	1819	1317
580	1822	1314
581	1824	1310
582	1826	1306
583	1828	1302
584	1830	1298
585	1832	1294
586	1834	1290
587	1836	1287
588	1839	1283
589	1840	1279
590	1842	1275
591	1845	1271
592	1848	1268
593	1850	1265
594	1852	1260
595	1854	1257
596	1857	1253
597	1859	1250
598	1862	1246
599	1864	1243
600	1866	1239
601	1869	1235
602	1870	1231
603	1874	1229
